productId,quantity,weekId,year,ETD
prod-JB-4345,11,1,2025,05.02.2025
prod-YR-9952,7,1,2025,15.01.2025
prod-MY-2833,94,1,2025,15.01.2025
prod-RM-2726,34,1,2025,19.02.2025
prod-TL-5902,169,1,2025,08.01.2025
prod-QX-2308,45,1,2025,01.01.2025
prod-VF-5379,0,1,2025,08.01.2025
prod-MR-5626,114,1,2025,22.01.2025
prod-FS-1806,43,1,2025,15.01.2025
prod-PA-5742,128,1,2025,15.01.2025
prod-JB-9607,91,1,2025,05.02.2025
prod-QE-5374,117,1,2025,29.01.2025
prod-CV-4991,98,1,2025,15.01.2025
prod-TJ-7970,10,1,2025,19.02.2025
prod-SD-2913,2,1,2025,15.01.2025
prod-JO-0079,179,1,2025,19.02.2025
prod-SY-8904,84,1,2025,22.01.2025
prod-JP-3206,168,1,2025,29.01.2025
prod-VY-8385,112,1,2025,26.02.2025
prod-HU-4122,82,1,2025,26.02.2025
prod-GP-1744,32,1,2025,29.01.2025
prod-TK-5883,140,1,2025,08.01.2025
prod-PQ-8179,67,1,2025,29.01.2025
prod-ZK-7351,158,1,2025,01.01.2025
prod-MP-4483,28,1,2025,26.02.2025
prod-TT-2752,141,1,2025,22.01.2025
prod-TR-4162,195,1,2025,12.02.2025
prod-CL-0085,157,1,2025,15.01.2025
prod-NY-9725,66,1,2025,15.01.2025
prod-IT-7861,19,1,2025,22.01.2025
prod-OV-4798,153,1,2025,19.02.2025
prod-CS-9024,98,1,2025,01.01.2025
prod-AI-0682,74,1,2025,26.02.2025
prod-QV-9115,88,1,2025,12.02.2025
prod-EU-7056,182,1,2025,05.02.2025
prod-CJ-3238,55,1,2025,12.02.2025
prod-PG-7396,190,1,2025,19.02.2025
prod-QZ-6672,91,1,2025,29.01.2025
prod-GZ-7296,103,1,2025,22.01.2025
prod-GE-4471,129,1,2025,01.01.2025
prod-WO-7886,86,1,2025,19.02.2025
prod-DF-7326,156,1,2025,26.02.2025
prod-PL-1107,181,1,2025,26.02.2025
prod-ZF-8638,75,1,2025,15.01.2025
prod-IN-8711,46,1,2025,08.01.2025
prod-BK-4342,169,1,2025,12.02.2025
prod-ID-7998,127,1,2025,01.01.2025
prod-DQ-2333,31,1,2025,01.01.2025
prod-GL-8457,19,1,2025,05.02.2025
prod-RK-3379,184,1,2025,29.01.2025
prod-FU-3284,148,1,2025,05.02.2025
prod-BM-8544,152,1,2025,29.01.2025
prod-NN-1455,94,1,2025,01.01.2025
prod-WO-7542,24,1,2025,12.02.2025
prod-KB-7839,182,1,2025,08.01.2025
prod-FI-3614,181,1,2025,26.02.2025
prod-UP-0538,162,1,2025,15.01.2025
prod-RQ-5469,43,1,2025,15.01.2025
prod-EO-9307,138,1,2025,19.02.2025
prod-GL-6166,89,1,2025,26.02.2025
prod-XG-2177,93,1,2025,08.01.2025
prod-DO-5533,106,1,2025,22.01.2025
prod-JD-7446,156,1,2025,08.01.2025
prod-PY-8713,122,1,2025,01.01.2025
prod-UG-9795,195,1,2025,05.02.2025
prod-DF-8293,9,1,2025,05.02.2025
prod-BA-5878,96,1,2025,26.02.2025
prod-FF-5213,88,1,2025,15.01.2025
prod-PV-8709,127,1,2025,19.02.2025
prod-ZN-3781,122,1,2025,08.01.2025
prod-DZ-3471,71,1,2025,12.02.2025
prod-WM-8339,41,1,2025,08.01.2025
prod-LT-9676,80,1,2025,15.01.2025
prod-ZB-7367,135,1,2025,22.01.2025
prod-OX-3521,95,1,2025,01.01.2025
prod-DS-4693,40,1,2025,01.01.2025
prod-HV-7769,141,1,2025,15.01.2025
prod-RW-6810,53,1,2025,15.01.2025
prod-WU-5386,95,1,2025,29.01.2025
prod-HC-9787,5,1,2025,26.02.2025
prod-KN-7983,1,1,2025,19.02.2025
prod-MW-6417,56,1,2025,01.01.2025
prod-RU-1176,169,1,2025,15.01.2025
prod-VQ-1813,83,1,2025,22.01.2025
prod-GB-5971,91,1,2025,12.02.2025
prod-DT-0194,165,1,2025,15.01.2025
prod-VM-9822,43,1,2025,19.02.2025
prod-JY-9694,66,1,2025,01.01.2025
prod-YF-5159,119,1,2025,08.01.2025
prod-DP-6348,58,1,2025,19.02.2025
prod-XA-3457,178,1,2025,15.01.2025
prod-GE-7676,60,1,2025,22.01.2025
prod-QZ-5145,50,1,2025,05.02.2025
prod-GW-3685,145,1,2025,22.01.2025
prod-TC-9891,22,1,2025,29.01.2025
prod-FC-6978,180,1,2025,22.01.2025
prod-JL-1233,34,1,2025,12.02.2025
prod-SQ-3059,125,1,2025,26.02.2025
prod-XN-6850,57,1,2025,15.01.2025
prod-AH-5651,173,1,2025,15.01.2025
prod-UC-7554,34,1,2025,01.01.2025
prod-AZ-1055,53,1,2025,22.01.2025
prod-ZS-3468,103,1,2025,29.01.2025
prod-RO-5944,173,1,2025,01.01.2025
prod-UQ-5884,18,1,2025,08.01.2025
prod-IA-0770,175,1,2025,15.01.2025
prod-HD-8474,98,1,2025,08.01.2025
prod-KL-0810,140,1,2025,29.01.2025
prod-QQ-1218,18,1,2025,15.01.2025
prod-TP-3741,67,1,2025,29.01.2025
prod-WT-1580,23,1,2025,26.02.2025
prod-GX-3093,134,1,2025,15.01.2025
prod-QE-0466,60,1,2025,22.01.2025
prod-AN-6950,59,1,2025,19.02.2025
prod-GT-8690,70,1,2025,26.02.2025
prod-VA-9951,51,1,2025,08.01.2025
prod-HG-2219,56,1,2025,15.01.2025
prod-UO-5951,65,1,2025,22.01.2025
prod-CY-6011,53,1,2025,05.02.2025
prod-VG-5592,152,1,2025,05.02.2025
prod-SJ-9732,126,1,2025,29.01.2025
prod-II-6929,184,1,2025,19.02.2025
prod-AS-2725,64,1,2025,12.02.2025
prod-LH-7719,162,1,2025,29.01.2025
prod-PE-6949,9,1,2025,26.02.2025
prod-SF-8935,45,1,2025,08.01.2025
prod-NL-4580,164,1,2025,12.02.2025
prod-EM-1009,159,1,2025,26.02.2025
prod-GR-6870,56,1,2025,26.02.2025
prod-KG-8739,0,1,2025,01.01.2025
prod-IG-4995,109,1,2025,01.01.2025
prod-ZQ-1478,42,1,2025,15.01.2025
prod-YA-0464,94,1,2025,08.01.2025
prod-RF-8309,109,1,2025,19.02.2025
prod-GV-0080,19,1,2025,15.01.2025
prod-OL-7357,23,1,2025,29.01.2025
prod-VJ-1399,87,1,2025,29.01.2025
prod-XS-2568,179,1,2025,26.02.2025
prod-RW-3321,1,1,2025,05.02.2025
prod-BL-6419,183,1,2025,26.02.2025
prod-NN-9389,96,1,2025,19.02.2025
prod-TL-9779,198,1,2025,05.02.2025
prod-GP-7396,3,1,2025,29.01.2025
prod-BY-0062,148,1,2025,01.01.2025
prod-XP-0644,99,1,2025,29.01.2025
prod-SF-1346,187,1,2025,12.02.2025
prod-EL-5697,66,1,2025,29.01.2025
prod-CH-5820,139,1,2025,19.02.2025
prod-AK-9721,162,1,2025,15.01.2025
prod-WV-5826,105,1,2025,29.01.2025
prod-LA-9529,78,1,2025,19.02.2025
prod-BJ-4607,175,1,2025,05.02.2025
prod-FT-5796,146,1,2025,26.02.2025
prod-PE-2090,54,1,2025,05.02.2025
prod-HA-4447,149,1,2025,29.01.2025
prod-UY-5817,180,1,2025,01.01.2025
prod-TN-3912,83,1,2025,12.02.2025
prod-FD-4373,175,1,2025,22.01.2025
prod-EH-5478,51,1,2025,19.02.2025
prod-IK-9801,135,1,2025,08.01.2025
prod-NY-9246,157,1,2025,05.02.2025
prod-QU-2537,147,1,2025,26.02.2025
prod-BG-1400,62,1,2025,05.02.2025
prod-WI-4860,187,1,2025,12.02.2025
prod-GA-9261,158,1,2025,08.01.2025
prod-LC-1682,52,1,2025,01.01.2025
prod-CS-0377,20,1,2025,19.02.2025
prod-KK-2365,187,1,2025,15.01.2025
prod-UZ-8217,84,1,2025,22.01.2025
prod-CD-5611,3,1,2025,15.01.2025
prod-OB-7565,175,1,2025,15.01.2025
prod-CP-4431,24,1,2025,08.01.2025
prod-IJ-0890,166,1,2025,08.01.2025
prod-YH-7675,111,1,2025,12.02.2025
prod-UW-5762,74,1,2025,12.02.2025
prod-WJ-5439,67,1,2025,01.01.2025
prod-BV-2929,80,1,2025,22.01.2025
prod-QM-9703,123,1,2025,15.01.2025
prod-WZ-7689,149,1,2025,08.01.2025
prod-KP-1656,184,1,2025,19.02.2025
prod-RM-4274,67,1,2025,15.01.2025
prod-FB-5592,16,1,2025,12.02.2025
prod-WV-5376,38,1,2025,22.01.2025
prod-NT-5755,56,1,2025,01.01.2025
prod-QL-0635,115,1,2025,22.01.2025
prod-BQ-8524,4,1,2025,22.01.2025
prod-ZW-1274,61,1,2025,08.01.2025
prod-TU-4379,151,1,2025,01.01.2025
prod-QG-1179,100,1,2025,08.01.2025
prod-BB-4740,127,1,2025,26.02.2025
prod-VM-6483,184,1,2025,26.02.2025
prod-IR-6317,140,1,2025,12.02.2025
prod-KB-8277,164,1,2025,01.01.2025
prod-DK-5628,199,1,2025,19.02.2025
prod-IA-9798,50,1,2025,29.01.2025
prod-XH-6185,71,1,2025,05.02.2025
prod-FM-7604,121,1,2025,08.01.2025
prod-HL-4090,191,1,2025,08.01.2025
prod-BS-7191,96,1,2025,19.02.2025
prod-ND-3310,43,1,2025,19.02.2025
