productId,quantity,weekId,year
prod-JB-4345,2892,1,2025
prod-YR-9952,3442,1,2025
prod-MY-2833,1571,1,2025
prod-RM-2726,1481,1,2025
prod-TL-5902,185,1,2025
prod-QX-2308,1024,1,2025
prod-VF-5379,2343,1,2025
prod-MR-5626,2,1,2025
prod-FS-1806,3967,1,2025
prod-PA-5742,282,1,2025
prod-JB-9607,3502,1,2025
prod-QE-5374,175,1,2025
prod-CV-4991,4432,1,2025
prod-TJ-7970,3876,1,2025
prod-SD-2913,4106,1,2025
prod-JO-0079,2980,1,2025
prod-SY-8904,108,1,2025
prod-JP-3206,3711,1,2025
prod-VY-8385,3510,1,2025
prod-HU-4122,2209,1,2025
prod-GP-1744,4625,1,2025
prod-TK-5883,2661,1,2025
prod-PQ-8179,325,1,2025
prod-ZK-7351,810,1,2025
prod-MP-4483,1837,1,2025
prod-TT-2752,2542,1,2025
prod-TR-4162,4297,1,2025
prod-CL-0085,667,1,2025
prod-NY-9725,4825,1,2025
prod-IT-7861,2980,1,2025
prod-OV-4798,4471,1,2025
prod-CS-9024,2374,1,2025
prod-AI-0682,2748,1,2025
prod-QV-9115,3370,1,2025
prod-EU-7056,44,1,2025
prod-CJ-3238,443,1,2025
prod-PG-7396,1879,1,2025
prod-QZ-6672,264,1,2025
prod-GZ-7296,4801,1,2025
prod-GE-4471,4043,1,2025
prod-WO-7886,1351,1,2025
prod-DF-7326,451,1,2025
prod-PL-1107,2136,1,2025
prod-ZF-8638,4002,1,2025
prod-IN-8711,592,1,2025
prod-BK-4342,969,1,2025
prod-ID-7998,4471,1,2025
prod-DQ-2333,668,1,2025
prod-GL-8457,2262,1,2025
prod-RK-3379,1917,1,2025
prod-FU-3284,3020,1,2025
prod-BM-8544,3894,1,2025
prod-NN-1455,1305,1,2025
prod-WO-7542,2126,1,2025
prod-KB-7839,975,1,2025
prod-FI-3614,356,1,2025
prod-UP-0538,3103,1,2025
prod-RQ-5469,756,1,2025
prod-EO-9307,4543,1,2025
prod-GL-6166,3406,1,2025
prod-XG-2177,1386,1,2025
prod-DO-5533,3912,1,2025
prod-JD-7446,4573,1,2025
prod-PY-8713,2167,1,2025
prod-UG-9795,498,1,2025
prod-DF-8293,4539,1,2025
prod-BA-5878,3401,1,2025
prod-FF-5213,2932,1,2025
prod-PV-8709,4198,1,2025
prod-ZN-3781,3954,1,2025
prod-DZ-3471,2709,1,2025
prod-WM-8339,1008,1,2025
prod-LT-9676,1822,1,2025
prod-ZB-7367,4831,1,2025
prod-OX-3521,599,1,2025
prod-DS-4693,873,1,2025
prod-HV-7769,4067,1,2025
prod-RW-6810,4674,1,2025
prod-WU-5386,3282,1,2025
prod-HC-9787,4100,1,2025
prod-KN-7983,3017,1,2025
prod-MW-6417,216,1,2025
prod-RU-1176,4663,1,2025
prod-VQ-1813,151,1,2025
prod-GB-5971,3344,1,2025
prod-DT-0194,1554,1,2025
prod-VM-9822,276,1,2025
prod-JY-9694,2436,1,2025
prod-YF-5159,2956,1,2025
prod-DP-6348,3116,1,2025
prod-XA-3457,4980,1,2025
prod-GE-7676,1093,1,2025
prod-QZ-5145,1344,1,2025
prod-GW-3685,2674,1,2025
prod-TC-9891,1520,1,2025
prod-FC-6978,4402,1,2025
prod-JL-1233,3339,1,2025
prod-SQ-3059,464,1,2025
prod-XN-6850,2106,1,2025
prod-AH-5651,4280,1,2025
prod-UC-7554,3529,1,2025
prod-AZ-1055,3942,1,2025
prod-ZS-3468,206,1,2025
prod-RO-5944,2935,1,2025
prod-UQ-5884,3551,1,2025
prod-IA-0770,1742,1,2025
prod-HD-8474,3150,1,2025
prod-KL-0810,3310,1,2025
prod-QQ-1218,2077,1,2025
prod-TP-3741,1694,1,2025
prod-WT-1580,1034,1,2025
prod-GX-3093,1595,1,2025
prod-QE-0466,4413,1,2025
prod-AN-6950,1059,1,2025
prod-GT-8690,3784,1,2025
prod-VA-9951,4420,1,2025
prod-HG-2219,4758,1,2025
prod-UO-5951,4741,1,2025
prod-CY-6011,4487,1,2025
prod-VG-5592,1577,1,2025
prod-SJ-9732,2876,1,2025
prod-II-6929,4111,1,2025
prod-AS-2725,3636,1,2025
prod-LH-7719,2848,1,2025
prod-PE-6949,766,1,2025
prod-SF-8935,592,1,2025
prod-NL-4580,3632,1,2025
prod-EM-1009,4006,1,2025
prod-GR-6870,378,1,2025
prod-KG-8739,2384,1,2025
prod-IG-4995,4788,1,2025
prod-ZQ-1478,2156,1,2025
prod-YA-0464,204,1,2025
prod-RF-8309,181,1,2025
prod-GV-0080,723,1,2025
prod-OL-7357,1604,1,2025
prod-VJ-1399,4155,1,2025
prod-XS-2568,3909,1,2025
prod-RW-3321,102,1,2025
prod-BL-6419,3529,1,2025
prod-NN-9389,3443,1,2025
prod-TL-9779,3717,1,2025
prod-GP-7396,1171,1,2025
prod-BY-0062,2797,1,2025
prod-XP-0644,823,1,2025
prod-SF-1346,3922,1,2025
prod-EL-5697,2484,1,2025
prod-CH-5820,2383,1,2025
prod-AK-9721,1466,1,2025
prod-WV-5826,4506,1,2025
prod-LA-9529,4081,1,2025
prod-BJ-4607,4673,1,2025
prod-FT-5796,3317,1,2025
prod-PE-2090,164,1,2025
prod-HA-4447,3760,1,2025
prod-UY-5817,168,1,2025
prod-TN-3912,4062,1,2025
prod-FD-4373,39,1,2025
prod-EH-5478,25,1,2025
prod-IK-9801,3570,1,2025
prod-NY-9246,3866,1,2025
prod-QU-2537,3313,1,2025
prod-BG-1400,1857,1,2025
prod-WI-4860,125,1,2025
prod-GA-9261,3326,1,2025
prod-LC-1682,247,1,2025
prod-CS-0377,4470,1,2025
prod-KK-2365,4501,1,2025
prod-UZ-8217,4589,1,2025
prod-CD-5611,2888,1,2025
prod-OB-7565,3257,1,2025
prod-CP-4431,63,1,2025
prod-IJ-0890,533,1,2025
prod-YH-7675,1815,1,2025
prod-UW-5762,3602,1,2025
prod-WJ-5439,4462,1,2025
prod-BV-2929,2439,1,2025
prod-QM-9703,430,1,2025
prod-WZ-7689,720,1,2025
prod-KP-1656,2208,1,2025
prod-RM-4274,3424,1,2025
prod-FB-5592,1914,1,2025
prod-WV-5376,1403,1,2025
prod-NT-5755,856,1,2025
prod-QL-0635,3718,1,2025
prod-BQ-8524,4342,1,2025
prod-ZW-1274,3314,1,2025
prod-TU-4379,3064,1,2025
prod-QG-1179,4110,1,2025
prod-BB-4740,596,1,2025
prod-VM-6483,3341,1,2025
prod-IR-6317,184,1,2025
prod-KB-8277,3427,1,2025
prod-DK-5628,1319,1,2025
prod-IA-9798,276,1,2025
prod-XH-6185,2606,1,2025
prod-FM-7604,400,1,2025
prod-HL-4090,4976,1,2025
prod-BS-7191,3362,1,2025
prod-ND-3310,3950,1,2025
