ProductId,readyQty,WeekId,Year
Product 2002,486.4,W45,2024
Product 1549,19.88,W45,2024
Product 1549,28.4,W45,2024
Product 1549,28.4,W45,2024
Product 1549,28.4,W45,2024
Product 1549,333.7,W45,2024
Product 1549,19.88,W45,2024
Product 1549,738.4,W45,2024
Product 1549,31.24,W45,2024
Product 1549,677.34,W45,2024
Product 1553,1.42,W45,2024
Product 1553,5.68,W45,2024
Product 1553,5.68,W45,2024
Product 1553,258.44,W45,2024
Product 1553,11.36,W45,2024
Product 1553,335.12,W45,2024
Product 1922,1945.6,W45,2024
Product 1924,409.6,W45,2024
Product 2119,432.0,W45,2024
Product 1554,22.72,W45,2024
Product 1554,25.56,W45,2024
Product 1554,28.4,W45,2024
Product 1554,34.08,W45,2024
Product 1554,313.82,W45,2024
Product 1554,391.92,W45,2024
Product 1749,47.52,W45,2024
Product 1749,1188.0,W45,2024
Product 1135,21.212,W45,2024
Product 1782,614.4,W45,2024
Product 14,100.0,W45,2024
Product 116,288.0,W45,2024
Product 116,288.0,W45,2024
Product 1555,184.6,W45,2024
Product 1555,221.52,W45,2024
Product 1555,221.52,W45,2024
Product 1555,258.44,W45,2024
Product 1555,258.44,W45,2024
Product 1555,258.44,W45,2024
Product 1555,26.98,W45,2024
Product 1555,1689.8,W45,2024
Product 1861,799.2,W45,2024
Product 1931,25.6,W45,2024
Product 1931,153.6,W45,2024
Product 1933,9.6,W45,2024
Product 1933,102.4,W45,2024
Product 1933,20.48,W45,2024
Product 1933,134.4,W45,2024
Product 1057,60.0,W45,2024
Product 1057,60.0,W45,2024
Product 1057,60.0,W45,2024
Product 1057,120.0,W45,2024
Product 1057,180.0,W45,2024
Product 1565,295.36,W45,2024
Product 1565,553.8,W45,2024
Product 1565,996.84,W45,2024
Product 1566,147.68,W45,2024
Product 1566,147.68,W45,2024
Product 1566,184.6,W45,2024
Product 1566,184.6,W45,2024
Product 1566,221.52,W45,2024
Product 1555,7.1,W45,2024
Product 1555,14.2,W45,2024
Product 1555,5.68,W45,2024
Product 1555,19.88,W45,2024
Product 1555,103.66,W45,2024
Product 13,200.0,W45,2024
Product 2100,1036.8,W45,2024
Product 1555,302.46,W45,2024
Product 1555,1292.2,W45,2024
Product 1555,8.52,W45,2024
Product 1555,14.2,W45,2024
Product 1555,231.46,W45,2024
Product 326,19.44,W45,2024
Product 326,4.32,W45,2024
Product 240,198.0,W45,2024
Product 278,4838.4,W45,2024
Product 1911,889.6,W45,2024
Product 1859,669.6,W45,2024
Product 1859,86.4,W45,2024
Product 1860,583.2,W45,2024
Product 1860,7.2,W45,2024
Product 241,990.0,W45,2024
Product 240,198.0,W45,2024
Product 239,1716.0,W45,2024
Product 1553,7.1,W45,2024
Product 1553,18.46,W45,2024
Product 1553,4.26,W45,2024
Product 1553,28.4,W45,2024
Product 1553,35.5,W45,2024
Product 1553,258.44,W45,2024
Product 1553,258.44,W45,2024
Product 1553,627.64,W45,2024
Product 1553,28.4,W45,2024
Product 698,1.008,W45,2024
Product 51,960.0,W45,2024
Product 24,96.0,W45,2024
Product 1413,2505.6,W45,2024
Product 1006,2030.4,W45,2024
Product 872,60.0,W45,2024
Product 872,180.0,W45,2024
Product 872,240.0,W45,2024
Product 872,240.0,W45,2024
Product 1555,1033.76,W45,2024
Product 1475,390.0,W45,2024
Product 1499,78.0,W45,2024
Product 1499,156.0,W45,2024
Product 1499,1248.0,W45,2024
Product 1499,78.0,W45,2024
Product 822,1209.6,W45,2024
Product 1420,1987.2,W45,2024
Product 1431,2030.4,W45,2024
Product 1413,2030.4,W45,2024
Product 1024,43.2,W45,2024
Product 1024,43.2,W45,2024
Product 1024,43.2,W45,2024
Product 1304,950.4,W45,2024
Product 1081,216.0,W45,2024
Product 1081,216.0,W45,2024
Product 1697,43.2,W45,2024
Product 1014,1555.2,W45,2024
Product 1235,691.2,W45,2024
Product 1228,518.4,W45,2024
Product 517,362.88,W45,2024
Product 517,604.8,W45,2024
Product 1933,588.8,W45,2024
Product 1933,1433.6,W45,2024
Product 2322,12.0,W45,2024
Product 67,276.48,W45,2024
Product 394,544.32,W45,2024
Product 136,1987.2,W45,2024
Product 139,864.0,W45,2024
Product 140,1814.4,W45,2024
Product 141,777.6,W45,2024
Product 142,820.8,W45,2024
Product 142,18.9,W45,2024
Product 142,302.4,W45,2024
Product 143,345.6,W45,2024
Product 1417,43.2,W45,2024
Product 1071,950.4,W45,2024
Product 1426,302.4,W45,2024
Product 1935,129.6,W45,2024
Product 1913,46.08,W45,2024
Product 1852,64.8,W45,2024
Product 1852,561.6,W45,2024
Product 327,259.2,W45,2024
Product 328,259.2,W45,2024
Product 329,259.2,W45,2024
Product 330,259.2,W45,2024
Product 1665,51.84,W45,2024
Product 1667,362.88,W45,2024
Product 1667,51.84,W45,2024
Product 1585,604.8,W45,2024
Product 1703,907.2,W45,2024
Product 1834,358.4,W45,2024
Product 1835,409.6,W45,2024
Product 1836,1075.2,W45,2024
Product 892,41.998,W45,2024
Product 698,0.216,W45,2024
Product 697,1.008,W45,2024
Product 1697,129.6,W45,2024
Product 708,86.4,W45,2024
Product 1233,216.0,W45,2024
Product 1026,475.2,W45,2024
Product 1026,43.2,W45,2024
Product 235,1451.52,W45,2024
Product 235,2695.68,W45,2024
Product 1553,36.92,W45,2024
Product 1553,110.76,W45,2024
Product 1553,184.6,W45,2024
Product 1553,184.6,W45,2024
Product 1553,221.52,W45,2024
Product 2232,78.0,W45,2024
Product 268,544.32,W45,2024
Product 273,37.8,W45,2024
Product 267,544.32,W45,2024
Product 271,40.32,W45,2024
Product 271,855.54,W45,2024
Product 269,11.34,W45,2024
Product 269,39.06,W45,2024
Product 269,1389.78,W45,2024
Product 274,302.4,W45,2024
Product 270,39.06,W45,2024
Product 273,209.16,W45,2024
Product 270,229.32,W45,2024
Product 272,544.32,W45,2024
Product 1051,24.0,W45,2024
Product 1481,234.0,W45,2024
Product 1481,42.0,W45,2024
Product 1481,74.0,W45,2024
Product 1487,220.0,W45,2024
Product 1483,37.0,W45,2024
Product 1483,313.0,W45,2024
Product 1481,160.0,W45,2024
Product 1048,30.0,W45,2024
Product 1363,691.2,W45,2024
Product 1837,102.4,W45,2024
Product 2387,234.0,W45,2024
Product 1361,648.0,W45,2024
Product 1362,864.0,W45,2024
Product 1364,432.0,W45,2024
