ProductId,WeekId,Year,Etd,To_be_produced_sq2
Product 1,W39,2024,2024-10-11,1600.0
Product 1,W39,2024,2024-11-26,100.0
Product 1,W39,2024,2024-12-03,1400.0
Product 1,W41,2024,2024-10-11,400.0
Product 1,W41,2024,2024-10-17,1000.0
Product 1,W41,2024,2024-11-26,100.0
Product 1,W41,2024,2024-12-03,1400.0
Product 1,W44,2024,2024-12-10,1400.0
Product 1,W45,2024,2024-12-06,200.0
Product 1,W45,2024,2024-12-09,1200.0
Product 1,W47,2024,2024-12-07,200.0
Product 1,W47,2024,2024-12-09,1200.0
Product 1,W48,2024,2024-12-09,1400.0
Product 1,W49,2024,2024-12-06,100.0
Product 1,W49,2024,2024-12-09,500.0
Product 10,W39,2024,2024-10-16,600.0
Product 10,W39,2024,2024-11-26,100.0
Product 10,W39,2024,2024-12-09,900.0
Product 10,W41,2024,2024-10-21,600.0
Product 10,W41,2024,2024-11-26,100.0
Product 10,W41,2024,2024-12-09,900.0
Product 10,W44,2024,2024-12-17,900.0
Product 10,W45,2024,2024-12-13,900.0
Product 10,W47,2024,2024-12-14,900.0
Product 10,W48,2024,2024-12-15,900.0
Product 10,W49,2024,2024-12-17,900.0
Product 1000,W49,2024,2025-01-15,1036.8
Product 1001,W48,2024,2024-12-10,302.4
Product 1001,W49,2024,2024-12-10,302.4
Product 1002,W39,2024,2024-10-17,1036.8
Product 1002,W41,2024,2024-10-21,1036.8
Product 1002,W44,2024,2024-11-11,734.4
Product 1002,W45,2024,2025-01-10,777.6
Product 1002,W47,2024,2025-01-15,777.6
Product 1002,W48,2024,2025-01-17,777.6
Product 1002,W49,2024,2025-01-09,777.6
Product 1003,W39,2024,2024-10-19,2073.6
Product 1003,W41,2024,2024-10-21,1036.8
Product 1004,W39,2024,2024-10-28,1036.8
Product 1004,W41,2024,2024-11-24,1036.8
Product 1004,W44,2024,2025-01-12,1036.8
Product 1004,W45,2024,2025-01-13,1036.8
Product 1004,W47,2024,2025-01-18,1036.8
Product 1004,W48,2024,2025-01-24,1036.8
Product 1004,W49,2024,2025-01-14,1036.8
Product 1005,W39,2024,2024-11-03,2030.4
Product 1007,W47,2024,2025-01-28,1512.0
Product 1007,W48,2024,2025-02-01,1512.0
Product 1007,W49,2024,2025-02-02,1512.0
Product 1012,W44,2024,2024-12-31,3974.4
Product 1012,W45,2024,2024-12-31,3974.4
Product 1012,W47,2024,2024-12-31,3974.4
Product 1012,W47,2024,2025-01-28,3024.0
Product 1012,W48,2024,2024-12-31,3974.4
Product 1012,W48,2024,2025-01-28,3024.0
Product 1012,W49,2024,2024-12-31,3974.4
Product 1012,W49,2024,2025-01-30,3024.0
Product 1013,W44,2024,2024-12-31,3585.6
Product 1013,W45,2024,2024-12-31,3585.6
Product 1013,W47,2024,2024-12-31,3585.6
Product 1013,W47,2024,2025-01-28,3974.4
Product 1013,W48,2024,2024-12-31,3585.6
Product 1013,W48,2024,2025-01-28,4017.6
Product 1013,W49,2024,2024-12-31,3585.6
Product 1013,W49,2024,2025-01-28,86.4
Product 1013,W49,2024,2025-01-30,3931.2
Product 1014,W47,2024,2025-01-28,2462.4
Product 1014,W48,2024,2025-02-02,4406.4
Product 1014,W49,2024,2025-02-03,4406.4
Product 1016,W44,2024,2024-12-16,3801.6000000000004
Product 1016,W45,2024,2024-12-16,3801.6000000000004
Product 1016,W47,2024,2024-12-17,2030.4
Product 1016,W47,2024,2024-12-18,1728.0
Product 1016,W48,2024,2024-12-17,2030.4
Product 1016,W48,2024,2024-12-18,1728.0
Product 1016,W49,2024,2024-12-18,2808.0
Product 1024,W39,2024,2024-10-26,3931.2
Product 1024,W41,2024,2024-10-25,3931.2
Product 1025,W48,2024,2025-02-09,1036.8
Product 1025,W49,2024,2025-01-28,1036.8
Product 1026,W48,2024,2025-01-20,3024.0
Product 1026,W49,2024,2025-01-20,3024.0
Product 1028,W39,2024,2024-11-24,820.8
Product 1028,W41,2024,2024-11-28,820.8
Product 1028,W44,2024,2025-01-12,820.8
Product 1028,W45,2024,2025-01-19,820.8
Product 1028,W47,2024,2025-01-17,820.8
Product 1028,W47,2024,2025-01-28,2030.4
Product 1028,W48,2024,2025-01-26,820.8
Product 1028,W48,2024,2025-01-28,2030.4
Product 1028,W49,2024,2025-01-25,820.8
Product 1028,W49,2024,2025-01-28,648.0
Product 1028,W49,2024,2025-02-19,1382.4
Product 1029,W44,2024,2025-01-07,518.4
Product 1029,W45,2024,2025-01-17,518.4
Product 1029,W47,2024,2025-01-24,518.4
Product 1029,W48,2024,2025-01-25,518.4
Product 1029,W49,2024,2025-01-29,518.4
Product 1031,W39,2024,2024-10-28,2548.8
Product 1031,W41,2024,2024-11-01,2548.8
Product 1031,W44,2024,2024-11-09,2548.8
Product 1031,W45,2024,2024-11-19,2548.8
Product 1032,W39,2024,2024-10-02,1036.8
Product 1032,W41,2024,2024-10-15,1036.8
Product 1032,W44,2024,2025-01-06,777.6
Product 1032,W45,2024,2025-01-16,777.6
Product 1032,W47,2024,2025-01-23,777.6
Product 1032,W48,2024,2025-01-23,777.6
Product 1032,W49,2024,2025-01-28,777.6
Product 1033,W39,2024,2024-11-04,2548.8
Product 1033,W41,2024,2024-11-07,2548.8
Product 1033,W44,2024,2024-11-11,2548.8
Product 1033,W44,2024,2024-12-31,993.6
Product 1033,W45,2024,2024-11-16,2548.8
Product 1033,W45,2024,2024-12-31,993.6
Product 1033,W48,2024,2025-02-21,604.8
Product 1033,W49,2024,2025-02-26,993.6
Product 1034,W39,2024,2024-10-01,1036.8
Product 1034,W39,2024,2024-10-29,432.0
Product 1034,W39,2024,2024-11-20,1080.0
Product 1034,W41,2024,2024-10-29,302.4
Product 1034,W41,2024,2024-11-26,1080.0
Product 1034,W44,2024,2024-11-29,1036.8
Product 1034,W44,2024,2024-11-30,345.6
Product 1034,W45,2024,2024-11-19,1382.4
Product 1034,W48,2024,2025-02-24,734.4
Product 1034,W49,2024,2025-02-13,734.4
Product 1035,W44,2024,2025-01-06,993.6
Product 1035,W45,2024,2025-01-16,993.6
Product 1035,W47,2024,2025-01-23,993.6
Product 1035,W48,2024,2025-01-23,993.6
Product 1035,W49,2024,2025-01-28,993.6
Product 1048,W39,2024,2024-10-26,1010.0
Product 1048,W41,2024,2024-10-26,1010.0
Product 1048,W44,2024,2024-11-01,917.0
Product 1049,W39,2024,2024-10-26,1010.0
Product 1049,W41,2024,2024-10-27,1010.0
Product 1050,W39,2024,2024-10-26,1010.0
Product 1050,W41,2024,2024-10-27,1010.0
Product 1050,W44,2024,2024-11-01,12.0
Product 1051,W39,2024,2024-10-26,1010.0
Product 1051,W41,2024,2024-10-27,1010.0
Product 1052,W39,2024,2024-10-27,1010.0
Product 1052,W41,2024,2024-10-27,1010.0
Product 1053,W39,2024,2024-09-27,1010.0
Product 1053,W41,2024,2024-10-11,1010.0
Product 1053,W44,2024,2024-11-02,1010.0
Product 1053,W45,2024,2024-11-12,54.0
Product 1054,W48,2024,2025-01-28,1320.0
Product 1054,W49,2024,2025-01-28,1320.0
Product 1055,W39,2024,2024-10-23,13500.0
Product 1055,W41,2024,2024-10-24,13980.0
Product 1055,W41,2024,2025-01-11,1980.0
Product 1055,W44,2024,2025-01-17,15960.0
Product 1055,W45,2024,2025-01-29,7860.0
Product 1055,W47,2024,2025-01-14,7860.0
Product 1055,W48,2024,2025-01-15,18960.0
Product 1055,W49,2024,2025-01-16,16700.0
Product 1056,W44,2024,2025-01-18,1920.0
Product 1056,W44,2024,2025-01-20,1260.0
Product 1056,W45,2024,2025-01-29,3180.0
Product 1056,W47,2024,2025-01-18,1920.0
Product 1056,W47,2024,2025-01-20,1260.0
Product 1056,W48,2024,2025-01-18,1920.0
Product 1056,W48,2024,2025-01-20,1260.0
Product 1056,W49,2024,2025-01-18,1920.0
Product 1056,W49,2024,2025-01-20,1260.0
Product 1057,W48,2024,2025-01-28,1500.0
Product 1057,W49,2024,2025-01-28,1500.0
Product 106,W39,2024,2024-10-18,1503.36
Product 106,W41,2024,2024-10-11,103.68
Product 106,W41,2024,2024-10-16,1399.68
Product 1066,W39,2024,2024-10-27,1468.8
