productId,quantity,weekId,year
prod-JB-4345,2600,1,2020
prod-YR-9952,1138,1,2020
prod-MY-2833,1323,1,2020
prod-RM-2726,3849,1,2020
prod-TL-5902,1719,1,2020
prod-QX-2308,4586,1,2020
prod-VF-5379,3270,1,2020
prod-MR-5626,3654,1,2020
prod-FS-1806,2165,1,2020
prod-PA-5742,4874,1,2020
prod-JB-9607,1715,1,2020
prod-QE-5374,2237,1,2020
prod-CV-4991,2505,1,2020
prod-TJ-7970,3679,1,2020
prod-SD-2913,770,1,2020
prod-JO-0079,3773,1,2020
prod-SY-8904,1536,1,2020
prod-JP-3206,4502,1,2020
prod-VY-8385,3889,1,2020
prod-HU-4122,2529,1,2020
prod-GP-1744,2822,1,2020
prod-TK-5883,3463,1,2020
prod-PQ-8179,2120,1,2020
prod-ZK-7351,853,1,2020
prod-MP-4483,1300,1,2020
prod-TT-2752,4648,1,2020
prod-TR-4162,2677,1,2020
prod-CL-0085,4066,1,2020
prod-NY-9725,3644,1,2020
prod-IT-7861,3197,1,2020
prod-OV-4798,4445,1,2020
prod-CS-9024,655,1,2020
prod-AI-0682,883,1,2020
prod-QV-9115,2804,1,2020
prod-EU-7056,1000,1,2020
prod-CJ-3238,2767,1,2020
prod-PG-7396,3768,1,2020
prod-QZ-6672,4560,1,2020
prod-GZ-7296,767,1,2020
prod-GE-4471,284,1,2020
prod-WO-7886,4596,1,2020
prod-DF-7326,1944,1,2020
prod-PL-1107,2656,1,2020
prod-ZF-8638,162,1,2020
prod-IN-8711,1743,1,2020
prod-BK-4342,4543,1,2020
prod-ID-7998,3668,1,2020
prod-DQ-2333,836,1,2020
prod-GL-8457,3595,1,2020
prod-RK-3379,3818,1,2020
prod-FU-3284,2337,1,2020
prod-BM-8544,1865,1,2020
prod-NN-1455,3618,1,2020
prod-WO-7542,1000,1,2020
prod-KB-7839,3017,1,2020
prod-FI-3614,2847,1,2020
prod-UP-0538,2042,1,2020
prod-RQ-5469,4327,1,2020
prod-EO-9307,687,1,2020
prod-GL-6166,2675,1,2020
prod-XG-2177,1007,1,2020
prod-DO-5533,1973,1,2020
prod-JD-7446,1568,1,2020
prod-PY-8713,1899,1,2020
prod-UG-9795,3545,1,2020
prod-DF-8293,1446,1,2020
prod-BA-5878,1033,1,2020
prod-FF-5213,4841,1,2020
prod-PV-8709,2839,1,2020
prod-ZN-3781,1269,1,2020
prod-DZ-3471,1115,1,2020
prod-WM-8339,3239,1,2020
prod-LT-9676,2049,1,2020
prod-ZB-7367,468,1,2020
prod-OX-3521,1204,1,2020
prod-DS-4693,4891,1,2020
prod-HV-7769,2336,1,2020
prod-RW-6810,3998,1,2020
prod-WU-5386,1553,1,2020
prod-HC-9787,487,1,2020
prod-KN-7983,4653,1,2020
prod-MW-6417,1892,1,2020
prod-RU-1176,1974,1,2020
prod-VQ-1813,463,1,2020
prod-GB-5971,1156,1,2020
prod-DT-0194,3515,1,2020
prod-VM-9822,4159,1,2020
prod-JY-9694,1392,1,2020
prod-YF-5159,1368,1,2020
prod-DP-6348,3025,1,2020
